"wl","Blue_20cd","Blue_40cd","Blue_80cd","Blue_120cd","Red_40cd","Red_80cd","Red_120cd","Red_240cd"
385,2394.86867230127,2391.98769756624,2356.44865248876,2391.21468316672,2377.97548011227,2380.82944163676,2360.69432828431,2384.82323855824
386,2395.08781798644,2392.28363552508,2354.60998574574,2391.51930315932,2378.1526478339,2380.67314199564,2361.29821383539,2385.24625040595
387,2395.25409838299,2392.71390207619,2351.8620474366,2391.92691125842,2378.21654250308,2380.40982147058,2362.48836973312,2385.91176726151
388,2395.20494219766,2393.04105852882,2349.87892188043,2392.21211058863,2378.19575817948,2380.2305121359,2363.61497301746,2386.43132809574
389,2394.69068295425,2393.14199608866,2348.55645435236,2392.35530349229,2377.72853421442,2380.17932718001,2365.40769849939,2386.93168335797
390,2393.87979503337,2393.14367377761,2347.22120411764,2392.45615873769,2376.90234744982,2380.16629410375,2367.92600261997,2387.51545213749
391,2393.23691842688,2393.18375462923,2346.69332648062,2392.4681790884,2376.41964818134,2380.18131645018,2369.51473486423,2387.75797636507
392,2392.6682410241,2393.20234631423,2347.69091786445,2392.35797313282,2376.41463445756,2380.22691755591,2369.60850866881,2387.44240372436
393,2392.00004254777,2393.16690811253,2349.55064626001,2392.16372310221,2376.53861654995,2380.29507878017,2369.1023164725,2386.82599898987
394,2391.57710073985,2393.25613047149,2351.02052432316,2391.94629222441,2376.76971308848,2380.35989069998,2368.53157626352,2386.19527972863
395,2391.51910478956,2393.69494132203,2352.52917478311,2391.48418770208,2377.59323160812,2380.47907781651,2367.49056160321,2385.24774648709
396,2391.63228941119,2394.32744418322,2354.52254753829,2390.8277066818,2378.84712411128,2380.64495470793,2365.89144293749,2383.99141900198
397,2391.79125063436,2394.7610928847,2355.77464599854,2390.44539730735,2379.5384759291,2380.73349706677,2364.74648358146,2383.17859362569
398,2392.10765333889,2394.96127008623,2355.90431315641,2390.44575591341,2379.3707129032,2380.71503852262,2364.19368667104,2382.77490565409
399,2392.61740508769,2395.10940524894,2355.55348723798,2390.58420705269,2378.89605534417,2380.66158275698,2363.73164224551,2382.43239424727
400,2393.08146593499,2395.13702240455,2355.03081450334,2390.79969119603,2378.39478028663,2380.6016105402,2363.41349397501,2382.43296155406
401,2393.48495522666,2394.9860673985,2354.17446276717,2391.2282811209,2377.59579813323,2380.45164690625,2363.45760292992,2383.22617752057
402,2393.91399416328,2394.68920591316,2352.83257322632,2391.8910322666,2376.36104547034,2380.19658831214,2363.86894958525,2384.68453174048
403,2394.28104558127,2394.31404173564,2351.32875221408,2392.55435909665,2375.17033860822,2379.96747266286,2364.38060671808,2386.2243058339
404,2394.498572317,2393.92817865303,2349.98660606376,2392.98467607457,2374.50349385715,2379.8953378634,2364.72564710548,2387.26178142096
405,2394.47280318594,2393.32110996377,2348.77304168661,2393.13330025017,2374.57780443207,2380.12423092418,2364.80788471093,2387.91993308488
406,2394.32088308323,2392.53520936034,2347.51720623715,2393.17143809282,2375.02767722903,2380.52865323608,2364.78776839904,2388.49399707073
407,2394.27164896474,2392.01740122095,2346.3360664136,2393.19533819544,2375.45859907992,2380.83532427474,2364.78332329867,2388.65864749138
408,2394.33481359552,2391.89234964317,2344.71748567348,2393.051960457,2376.15008666185,2381.08966054182,2364.84673831323,2387.99135413528
409,2394.38798620943,2391.9277429175,2342.74543064686,2392.74160857862,2377.18288736101,2381.38245249927,2364.92825744158,2386.78821083562
410,2394.46184846559,2392.03504171156,2341.43102279085,2392.59054685641,2377.8643340729,2381.50848056315,2364.99298845576,2385.80182777243
411,2394.71363072994,2392.35015546094,2341.09767227254,2392.73913081115,2378.05155337011,2381.37556661117,2365.06055885302,2384.72401829121
412,2395.08494173969,2392.83946691669,2341.22501844049,2393.00011475785,2378.08289584496,2381.11419642931,2365.11314198234,2383.33118000663
413,2395.28303071088,2393.16014671966,2341.55852652402,2393.20836118393,2377.98753042252,2380.85314629595,2365.05966439335,2382.5027995025
414,2395.28533770093,2393.36829675728,2342.35617076286,2393.30094351519,2377.49477637827,2380.43115527134,2364.86920761716,2382.5688600381
415,2395.22810467593,2393.62446058931,2343.63146415416,2393.38556926415,2376.6811066163,2379.84640048616,2364.61639097218,2383.03979708312
416,2395.05678371485,2393.74247136501,2344.7631800634,2393.55305204831,2376.09642050462,2379.46681532448,2364.36844768886,2383.56577553693
417,2394.51530792136,2393.46619087271,2345.71304796867,2393.74895825386,2375.65854611768,2379.42275114141,2364.19035044553,2384.51768278168
418,2393.72067561063,2392.94618452562,2346.77915198391,2393.93639230073,2375.17702715183,2379.50419205904,2364.01760205663,2385.91255287577
419,2393.17793667895,2392.60634091034,2347.84479742832,2394.23247485702,2375.03933640789,2379.56852061188,2363.72323095682,2386.869770733
420,2392.93660010022,2392.43878946897,2349.26646728756,2394.64236738795,2375.47132084097,2379.72594913929,2363.19172930292,2387.27408401785
421,2392.74521762356,2392.27090899494,2350.87590163488,2395.11243847953,2376.20650683764,2380.00830069611,2362.52135397124,2387.55788593292
422,2392.65740330811,2392.27946210184,2351.76929142083,2395.67161948113,2376.89388634588,2380.1553738901,2361.90578047573,2387.66202969915
423,2392.77240302335,2392.62903373407,2351.45324933007,2396.32279110262,2377.83739692021,2380.16799327298,2360.99416456174,2387.28757040466
424,2393.05055219079,2393.18266934104,2350.59640819147,2397.0800715307,2379.09291891005,2380.15474248556,2359.83578454274,2386.54188998288
425,2393.33709919766,2393.66482229382,2350.03798917202,2397.9892483299,2379.93735845581,2380.0170587692,2359.22449978477,2385.97533192275
426,2393.61926218611,2394.07181663508,2349.61790231516,2398.8083717105,2380.22357245141,2379.57329094001,2359.40644683751,2385.67710774372
427,2393.96276208913,2394.54019583477,2348.89879846147,2399.49844559561,2380.29636373537,2378.88161779199,2359.99511758838,2385.39335104808
428,2394.33060148012,2395.00474240491,2348.30400997365,2400.409688119,2380.17055736499,2378.2032215334,2360.83540441001,2385.15978844909
429,2394.68578293251,2395.40023885756,2348.2568692144,2401.89231741441,2379.86097839754,2377.79928437246,2361.77219967501,2385.01214655996
430,2395.02409062095,2395.4823577896,2348.46925397805,2403.64838449415,2379.0191495898,2377.62548329578,2363.32004922606,2384.98799705615
431,2395.37353170863,2395.3789957705,2348.842704881,2405.60318078752,2377.76347389878,2377.54295033638,2365.38295237396,2385.0521759696
432,2395.74544325173,2395.58327127115,2350.08504851902,2408.44178505383,2376.80909668217,2377.67105027218,2366.88998169355,2385.13130644824
433,2396.14894940573,2396.0576660014,2352.55433652466,2411.7547191182,2376.19022410238,2378.21791844255,2367.77950909467,2385.24645208287
434,2396.5953927605,2396.61122449951,2355.79923051229,2415.37327370299,2375.58873819682,2379.04386969771,2368.55701821675,2385.39684558411
435,2397.09943802385,2397.50690947895,2359.31347205037,2420.34368091334,2375.19129813561,2379.74653808181,2369.00224922905,2385.47636377968
436,2397.528986859,2398.76079989974,2362.33804848339,2426.04509785675,2375.1402572371,2380.56443533565,2368.87044931029,2385.46437321397
437,2397.89465820677,2400.23269785769,2365.34260807323,2432.28001235239,2375.32658470115,2381.59109698612,2368.26790407905,2385.43766805102
438,2398.42519269137,2401.95115076993,2369.66388376451,2440.72965257284,2375.55986352019,2382.20669275652,2367.50091136439,2385.43626654793
439,2399.0792120128,2403.80120856743,2375.66044210632,2450.32346327614,2376.01746749587,2382.17022833431,2366.32163841624,2385.47276408254
440,2399.80742391915,2405.8534119729,2382.65922543686,2460.71448783747,2376.6917947018,2381.84625716504,2364.76882214794,2385.51820382442
441,2400.8266981068,2408.41454459104,2390.4495303844,2474.66935235506,2377.1149645383,2381.52327060916,2363.57861488365,2385.55027571833
442,2402.08972862671,2411.15755671125,2397.64797373471,2490.93311247653,2377.17029398447,2380.98691888791,2362.51532090559,2385.505034585
443,2403.4857467404,2414.03196102365,2404.83179339263,2508.7842146058,2377.11982215025,2380.16259442713,2361.31948234341,2385.41011860129
444,2405.13642796015,2417.75938473408,2414.73121766506,2531.78937097561,2377.06375163226,2379.54840189418,2360.69160829244,2385.38059274622
445,2406.73376203731,2421.84591159708,2426.21342300148,2558.39016109676,2376.83332266372,2379.16678978543,2361.04881393614,2385.53023134718
446,2408.37059512755,2426.17849641634,2438.54806473482,2587.622847556,2376.44367709652,2378.81980145403,2361.89830521161,2385.78018122193
447,2410.76988734961,2432.05007297149,2455.06908949718,2623.94616719993,2376.2708699553,2378.67493385255,2362.57572734454,2385.95656608496
448,2413.7156406568,2438.96098263788,2473.90439045732,2664.61735032585,2376.4837891278,2378.95314329513,2363.49958753873,2386.00204668959
449,2416.95161746227,2446.54211462384,2494.24319322723,2708.75443926601,2376.82326895626,2379.50487807608,2364.86996008447,2386.00276386756
450,2421.14041857447,2456.2822244585,2521.01144310382,2763.6073889195,2377.02328414709,2379.94187311825,2365.69484083715,2386.0000614511
451,2425.85204404537,2467.18249653724,2552.47231285751,2825.26231518356,2377.09139571544,2380.27071665733,2365.57548950576,2386.02768237601
452,2430.81348974419,2478.56037261482,2586.35324882622,2890.37384498021,2377.18195723354,2380.65899793043,2364.98011588113,2386.05502212203
453,2436.92285020518,2492.37899425942,2626.77660665808,2967.04469974579,2377.24913224338,2380.95995336261,2364.21714094143,2386.02690333729
454,2445.07821996262,2510.60150303921,2677.86474200121,3063.37760091662,2377.24708428692,2381.02681937891,2363.59498566483,2385.88814866992
455,2454.12359018854,2530.78310102647,2732.2585826676,3168.75388098699,2376.96957502317,2380.66117290898,2362.93627953337,2385.54255852703
456,2463.88796790718,2552.62849273615,2790.15635258418,3282.10058531131,2376.5058215961,2380.04367677124,2362.12660880233,2385.07865114393
457,2476.74697143106,2581.32507340048,2867.01635157155,3425.83900461608,2376.25317077525,2379.59619622391,2361.5688296097,2384.71832591101
458,2490.74391722379,2613.10231535752,2953.12669632823,3585.01616798765,2376.27916995194,2379.23747478046,2361.47381286715,2384.4065612621
459,2505.60097863613,2647.09957967133,3045.37487086167,3755.53827009011,2376.38296272361,2378.79341871583,2361.64405555643,2384.05755146299
460,2526.21205931136,2692.86909466312,3169.11822595588,3976.11535001663,2376.55929016897,2378.54663743044,2361.86985292072,2383.84701965197
461,2549.47157117931,2744.70478644956,3308.96928178789,4226.10326412067,2377.08578837142,2378.67696804504,2362.07211161406,2383.8922890361
462,2574.40955767949,2800.62663874097,3459.7661682039,4496.45114735574,2377.89939304315,2379.02364089187,2362.32911189605,2384.08274709268
463,2609.12336971968,2875.775966249,3662.20465049169,4843.25895671511,2378.48379470602,2379.35835518857,2362.66720941817,2384.2522133653
464,2649.09103969935,2961.60866249315,3898.06729110907,5243.86096799262,2378.74646466946,2379.83573530003,2363.33940741348,2384.52169716388
465,2692.4861936819,3054.75476578259,4156.57096789393,5682.57683843826,2378.91192612882,2380.48330989177,2364.24977367773,2384.91172254746
466,2751.44957307108,3178.11680801354,4489.56291920422,6225.98459722947,2378.93944743487,2380.88213463233,2364.90126070646,2385.10538118332
467,2821.3805247446,3324.42586498687,4886.83991786455,6869.29007598225,2378.72703451002,2380.85065864428,2365.10841530374,2384.95607900205
468,2898.81820555877,3486.59138234608,5330.04141963144,7585.87508596607,2378.33808532811,2380.64103832471,2365.17158612633,2384.66575314788
469,2997.61307188526,3687.78344675134,5858.77868726072,8409.58162583862,2377.97995631703,2380.48489025393,2365.32242844886,2384.4402921086
470,3118.04954550688,3932.1048527537,6497.34438798384,9384.32261595501,2377.48898421347,2380.3808504742,2365.67696184095,2384.2185414112
471,3254.07112793858,4208.09923916763,7219.81585533363,10479.3507652917,2376.84785140346,2380.2301501106,2366.0501595441,2383.91266013547
